Category (What),Section,Subsection,YP ID
Agricultural Chemicals,"Agriculture, fishing & Forestry",,00026600
Aquaculture,"Agriculture, fishing & Forestry",,00063501
Blacksmiths,"Agriculture, fishing & Forestry",,00155400
Fertilizers,"Agriculture, fishing & Forestry",,00544000
Fruit & Vegetable Brokers,"Agriculture, fishing & Forestry",,00592780
Fruit & Vegetable Growers & Distributors,"Agriculture, fishing & Forestry",,00592800
Horse Breeding,"Agriculture, fishing & Forestry",,00677800
Horse Dealers,"Agriculture, fishing & Forestry",,00678000
Horse Training,"Agriculture, fishing & Forestry",,00678600
Horse Transport,"Agriculture, fishing & Forestry",,00678800
Irrigation Systems & Equipment,"Agriculture, fishing & Forestry",,00725200
Potato Growers & Shippers,"Agriculture, fishing & Forestry",,01052770
Poultry Processing,"Agriculture, fishing & Forestry",,01055200
Rendering Companies,"Agriculture, fishing & Forestry",,01118400
"Saddles, Harnesses & Horse Furnishings","Agriculture, fishing & Forestry",,01147600
Soil Testing,"Agriculture, fishing & Forestry",,01222600
Stables,"Agriculture, fishing & Forestry",,01237000
Artificial Insemination,"Agriculture, fishing & Forestry",Farming equipment & services,00713000
Beekeeping Supplies,"Agriculture, fishing & Forestry",Farming equipment & services,00138400
Dairy Equipment & Supplies,"Agriculture, fishing & Forestry",Farming equipment & services,00403000
Farm & Ranch Services,"Agriculture, fishing & Forestry",Farming equipment & services,00535275
Farm Equipment,"Agriculture, fishing & Forestry",Farming equipment & services,00535000
Farm Equipment & Supplies,"Agriculture, fishing & Forestry",Farming equipment & services,00535350
Farms & Ranches,"Agriculture, fishing & Forestry",Farming equipment & services,00535810
Flour Mills,"Agriculture, fishing & Forestry",Farming equipment & services,02000097
Hydroponic Systems & Equipment,"Agriculture, fishing & Forestry",Farming equipment & services,00693200
Livestock,"Agriculture, fishing & Forestry",Farming equipment & services,00780800
Livestock Breeders,"Agriculture, fishing & Forestry",Farming equipment & services,00781000
Livestock Equipment & Supplies,"Agriculture, fishing & Forestry",Farming equipment & services,00781200
Maple Syrup Equipment & Accessories,"Agriculture, fishing & Forestry",Farming equipment & services,00819800
Nursery Equipment & Supplies,"Agriculture, fishing & Forestry",Farming equipment & services,00914400
Poultry Hatcheries,"Agriculture, fishing & Forestry",Farming equipment & services,00664200
Silos,"Agriculture, fishing & Forestry",Farming equipment & services,01208200
Slaughterhouses,"Agriculture, fishing & Forestry",Farming equipment & services,00000802
Aerial Seeding & Spraying Service,"Agriculture, fishing & Forestry","Feed, seed and grain",01234300
Grain Brokers,"Agriculture, fishing & Forestry","Feed, seed and grain",00645200
Grain Dealers,"Agriculture, fishing & Forestry","Feed, seed and grain",00645400
Grain Elevator Equipment,"Agriculture, fishing & Forestry","Feed, seed and grain",00645600
Grain Elevators,"Agriculture, fishing & Forestry","Feed, seed and grain",00645800
Seed & Grain Cleaning,"Agriculture, fishing & Forestry","Feed, seed and grain",01178300
Dead Stock Removal,"Agriculture, fishing & Forestry",Fishing,00406225
Fish Hatcheries,"Agriculture, fishing & Forestry",Fishing,00561200
Fish Nets,"Agriculture, fishing & Forestry",Fishing,00561400
Fish Packers,"Agriculture, fishing & Forestry",Fishing,00561600
Nettings,"Agriculture, fishing & Forestry",Fishing,00903800
Forestry Consultants,"Agriculture, fishing & Forestry",Forests,00578900
Logging Companies & Contractors,"Agriculture, fishing & Forestry",Forests,00784610
Logging Equipment & Supplies,"Agriculture, fishing & Forestry",Forests,00784800
Tree Consultants,"Agriculture, fishing & Forestry",Forests,01356900
Bridal Supply Manufacturers & Wholesalers,Apparel & Accessories,,00192000
Clothing & Fur Storage,Apparel & Accessories,,00598630
Fur Repair & Remodelling,Apparel & Accessories,,00600300
Hats,Apparel & Accessories,,00664300
Safety Equipment & Clothing,Apparel & Accessories,,01148400
Uniforms,Apparel & Accessories,,01378400
Western Clothing,Apparel & Accessories,,01425800
Buckles,Apparel & Accessories,Accessories,00200200
Gloves & Mittens,Apparel & Accessories,Accessories,00635190
Jewellery Buyers,Apparel & Accessories,Accessories,00731800
Jewellery Designers,Apparel & Accessories,Accessories,00732300
Jewellery Engravers,Apparel & Accessories,Accessories,00732400
Jewellery Repair & Cleaning,Apparel & Accessories,Accessories,00732800
Lapidaries & Supplies,Apparel & Accessories,Accessories,00757300
Pin Manufacturers & Wholesalers,Apparel & Accessories,Accessories,01004350
Umbrellas,Apparel & Accessories,Accessories,01377000
Dry Cleaners,Apparel & Accessories,Alterations & Services,00300000
Laundries,Apparel & Accessories,Alterations & Services,00759800
Laundromats,Apparel & Accessories,Alterations & Services,00760000
Leather & Suede Cleaning,Apparel & Accessories,Alterations & Services,00765000
Leather Goods Repair,Apparel & Accessories,Alterations & Services,00764190
Linen Supply Service,Apparel & Accessories,Alterations & Services,00774400
Tailors,Apparel & Accessories,Alterations & Services,01275095
Uniform Rental,Apparel & Accessories,Alterations & Services,01377800
Watch Repair,Apparel & Accessories,Alterations & Services,01417300
Wedding Gown Preservation,Apparel & Accessories,Alterations & Services,00191700
Bridal Shops,Apparel & Accessories,Clothing - General,00191800
Children's Clothing Stores,Apparel & Accessories,Clothing - General,00280997
Cloth & Leather Caps,Apparel & Accessories,Clothing - General,00231900
Clothing Alterations,Apparel & Accessories,Clothing - General,00306798
Clothing Manufacturers & Wholesalers,Apparel & Accessories,Clothing - General,00307140
Clothing Stores,Apparel & Accessories,Clothing - General,00306965
Crests,Apparel & Accessories,Clothing - General,00391000
Embroidery,Apparel & Accessories,Clothing - General,00489800
Fashion Designers,Apparel & Accessories,Clothing - General,00535975
Hosiery Manufacturers & Wholesalers,Apparel & Accessories,Clothing - General,00680400
Hosiery Stores,Apparel & Accessories,Clothing - General,00680200
Kilts & Tartans,Apparel & Accessories,Clothing - General,00741560
Knit & Woollen Goods,Apparel & Accessories,Clothing - General,00742900
Maternity Clothes,Apparel & Accessories,Clothing - General,00833100
Men's Clothing Stores,Apparel & Accessories,Clothing - General,00843540
Quilts & Quilting Supplies,Apparel & Accessories,Clothing - General,01084500
