City (Where),Province
,Ontario
1,Alberta
1,British Columbia
1,Nova Scotia
1,Ontario
100 Mile House,British Columbia
2,Alberta
2,British Columbia
2,Manitoba
2,Ontario
2,Quebec
3,Alberta
3,Ontario
3,Quebec
4,Ontario
4,Quebec
5,British Columbia
5,Ontario
5,Quebec
6,Ontario
7,Alberta
7,British Columbia
7,Ontario
7,Quebec
9,Alberta
9,Quebec
A,Alberta
A,British Columbia
A,Manitoba
A,New Brunswick
A,Newfoundland and Labrador
A,Northwest Territories
A,Nova Scotia
A,Nunavut
A,Ontario
A,Prince Edward Island
A,Quebec
A,Saskatchewan
A,Yukon
Abbotsford,British Columbia
Aberdeen,Saskatchewan
Acheson,Alberta
Admiral,Saskatchewan
African Lion Safari,Ontario
Agassiz,British Columbia
Aguathuna,Newfoundland and Labrador
Air Canada Centre,Ontario
Airdrie,Alberta
Ajax,Ontario
Aklavik,Northwest Territories
Alameda,Saskatchewan
Albany,Prince Edward Island
Albert Bridge,Nova Scotia
Alberton,Prince Edward Island
Aldergrove,British Columbia
Alexander,Manitoba
Alliance,Alberta
Alliston,Ontario
Alma,Quebec
Alonsa,Manitoba
Altona,British Columbia
Altona,Manitoba
Alvena,Saskatchewan
Amaranth,Manitoba
Amherst,Nova Scotia
Amherstburg,Ontario
Amos,Quebec
Ancaster,Ontario
Andrew,Alberta
Angusville,Manitoba
Anjou,Quebec
Anmore,British Columbia
Anola,Manitoba
Antigonish,Nova Scotia
Arborfield,Saskatchewan
Arborg,Manitoba
Arcola,Saskatchewan
Arden,Manitoba
Ardrossan,Alberta
Armstrong,British Columbia
Arnes,Manitoba
Arnolds Cove,Newfoundland and Labrador
Arran,Saskatchewan
Art Gallery Of Nova Scotia,Nova Scotia
Arviat,Nunavut
Ashern,Manitoba
Ashville,Manitoba
Asquith,Saskatchewan
Assiniboia,Saskatchewan
Assiniboine Park Zoo,Manitoba
Athabasca,Alberta
Atlantic Superstore Mall,New Brunswick
Aurora,Ontario
Austin,Manitoba
Avalon Mall,Newfoundland and Labrador
B,Alberta
B,British Columbia
B,Manitoba
B,New Brunswick
B,Newfoundland and Labrador
B,Nova Scotia
B,Nunavut
B,Ontario
B,Prince Edward Island
B,Quebec
B,Saskatchewan
B,Yukon
Badgers Quay,Newfoundland and Labrador
Baie Verte,Newfoundland and Labrador
Baie-Comeau,Quebec
Baie-Sainte-Anne,New Brunswick
Baker Lake,Nunavut
Balcarres,Saskatchewan
Balgonie,Saskatchewan
Balls Creek,Nova Scotia
Balzac,Alberta
Banff,Alberta
Bangor,Saskatchewan
Barrhead,Alberta
Barrie,Ontario
Bashaw,Alberta
Bass River,New Brunswick
Bateman,Saskatchewan
Bathurst,New Brunswick
Bathurst Station,New Brunswick
Battleford,Saskatchewan
Bauline,Newfoundland and Labrador
Bay Chimo,Nunavut
Bay Roberts,Newfoundland and Labrador
Beaconsfield,Quebec
Beaumont,Alberta
Beaumont,Newfoundland and Labrador
Beauport,Quebec
Beausejour,Manitoba
Beauval,Saskatchewan
Beaver Bank,Nova Scotia
Beaver Creek,Yukon
Becancour,Quebec
Bedeque,Prince Edward Island
Bedford,Nova Scotia
Beechville,Nova Scotia
Belair,Manitoba
Belcarra,British Columbia
Belfast,Prince Edward Island
Bell Centre,Quebec
Bell Island,Newfoundland and Labrador
Bell Island Front,Newfoundland and Labrador
Belle Plaine,Saskatchewan
Belle River,Prince Edward Island
Belledune,New Brunswick
Belleisle Creek,New Brunswick
Belleoram,Newfoundland and Labrador
Belleville,Ontario
Bellevue,Newfoundland and Labrador
Beloeil,Quebec
Benito,Manitoba
Benoits Cove,Newfoundland and Labrador
Berens River,Manitoba
Beresford,New Brunswick
Bienfait,Saskatchewan
Big Bras D'Or,Nova Scotia
Big Pond,Nova Scotia
Big River,Saskatchewan
Biggar,Saskatchewan
Binscarth,Manitoba
Birch Grove,Nova Scotia
Birch Hills,Saskatchewan
Birch River,Manitoba
Birchy Bay,Newfoundland and Labrador
Birtle,Manitoba
Bishops College,Newfoundland and Labrador
Bishops Falls,Newfoundland and Labrador
Bjorkdale,Saskatchewan
Black Creek,British Columbia
Blackie,Alberta
Blainville,Quebec
Blaketown,Newfoundland and Labrador
Blind Bay,British Columbia
Bloomfield,Newfoundland and Labrador
Bloomfield Station,Prince Edward Island
Bluffton,Alberta
Boat Harbour West,Newfoundland and Labrador
Boisbriand,Quebec
Bolton,Ontario
Bonavista,Newfoundland and Labrador
Bonne Bay Pond,Newfoundland and Labrador
Bonnyville,Alberta
Bonshaw,Prince Edward Island
Borden,Saskatchewan
Botwood,Newfoundland and Labrador
Boucherville,Quebec
Bouctouche,New Brunswick
Boutiliers Point,Nova Scotia
Bow Valley College,Alberta
Bowmanville,Ontario
Bowring Park Amphitheatre,Newfoundland and Labrador
Bowsman,Manitoba
Boyle,Alberta
Bracebridge,Ontario
Bramalea City Centre,Ontario
Brampton,Ontario
Branch,Newfoundland and Labrador
Brandon,Manitoba
Brantford,Ontario
Bras D'Or,Nova Scotia
Breadalbane,Prince Edward Island
Bredenbury,Saskatchewan
Brentwood Bay,British Columbia
Brentwood Town Centre,British Columbia
Bridgewater,Nova Scotia
Briercrest,Saskatchewan
Brochet,Manitoba
Brock University,Ontario
Brockville,Ontario
Brookdale,Manitoba
Brooks,Alberta
Brookside,Nova Scotia
Brossard,Quebec
Brunkild,Manitoba
Buchans,Newfoundland and Labrador
