Section,Categories,YP ID
"Agriculture, fishing & Forestry",49,80018000
Apparel & Accessories,51,80002000
Automotive,80,80001000
Business & Professional Services,149,80004000
"Computers, Communications & Electronics",64,80006000
Construction & Renovation,143,80017000
Education,34,80005000
Entertainment & Media,63,80003000
Family & Community,84,80007000
Finance & Legal,72,80008000
Food & Beverages,90,80009000
Health & Medicine,93,80010000
Home & Garden,170,80011000
Industrial supplies & services,262,80019000
Personal Care,54,80012000
Public utilities & environment,49,80021000
Real-Estate & Insurance,57,80013000
Shopping & Specialty Stores,159,80014000
Sports & Recreation,111,80015000
Transportation,48,80020000
Travel & Lodging,62,80016000
