Subsection,Section,YP ID
Farming equipment & services,"Agriculture, fishing & Forestry",90018001
"Feed, seed and grain","Agriculture, fishing & Forestry",90018005
Fishing,"Agriculture, fishing & Forestry",90018002
Forests,"Agriculture, fishing & Forestry",90018003
Accessories,Apparel & Accessories,90002002
Alterations & Services,Apparel & Accessories,90002001
Clothing - General,Apparel & Accessories,90002003
Footwear,Apparel & Accessories,90002004
Accessories,Automotive,90001001
Detailing & Aesthetics,Automotive,90001012
Motorcycles,Automotive,90001003
Motorized Vehicles,Automotive,90001004
Administrative & Specialty Services,Business & Professional Services,90004001
Advertising,Business & Professional Services,90004002
Associations & Organizations,Business & Professional Services,90004003
"Barrels, boxes, bottles & cans",Business & Professional Services,90019004
Communications Services & Equipment,"Computers, Communications & Electronics",90006001
Computer Equipment,"Computers, Communications & Electronics",90006002
Computer Services,"Computers, Communications & Electronics",90006003
Electronics - Services & Equipment,"Computers, Communications & Electronics",90006004
Building Materials & Equipment,Construction & Renovation,90017000
Ceramics & Tile,Construction & Renovation,90017001
Chimneys,Construction & Renovation,90017011
"Concrete, Cement & Paving",Construction & Renovation,90017002
Academic,Education,90005001
Libraries,Education,90005002
Services & Supplies,Education,90005003
Specialized Schools,Education,90005004
Adult Entertainment,Entertainment & Media,90003012
"Agents, agencies and organizations",Entertainment & Media,90003013
Amusement Centres,Entertainment & Media,90003001
Artists & Entertainers,Entertainment & Media,90003002
Children & Child Care,Family & Community,90007001
Community Services & Organizations,Family & Community,90007004
Government agencies and services,Family & Community,90007005
Pet Services,Family & Community,90007002
Accounting Services,Finance & Legal,90008001
Banks & Financial Services,Finance & Legal,90008002
Financial industry - Supplies,Finance & Legal,90008003
Investment services,Finance & Legal,90008004
Alcoholic Beverages,Food & Beverages,90009002
Dairy Products,Food & Beverages,90009010
Desserts & Bakery Products,Food & Beverages,90009003
Food Products,Food & Beverages,90009005
Alternative Health Care,Health & Medicine,90010001
Dental Care,Health & Medicine,90010003
Eye Care & Eyewear,Health & Medicine,90010005
Fitness & Weight Loss,Health & Medicine,90010006
Accessories - General,Home & Garden,90011000
Appliances,Home & Garden,90011001
Bedroom & Linens,Home & Garden,90011021
"Cabinets, Racks & Organizers",Home & Garden,90011002
"Adhesives, Chemicals, Inks, Dyes & Lubricants",Industrial supplies & services,90019009
Amusement equipment & device,Industrial supplies & services,90019002
"Audio, video & motion pictures equipment & services",Industrial supplies & services,90019003
"Heating, Cooling, Ventilation & Air Conditioning",Industrial supplies & services,90019018
"Barbers, Beauty Salons & Spas",Personal Care,90012001
Body Art & Piercing,Personal Care,90012002
Cosmetics,Personal Care,90012003
Skin & scalp services & products,Personal Care,90012004
Energy & power,Public utilities & environment,90021002
Environment,Public utilities & environment,90021003
Mining,Public utilities & environment,90021008
Public security,Public utilities & environment,90021005
Building Management,Real-Estate & Insurance,90013001
Insurance,Real-Estate & Insurance,90013003
Real Estate,Real-Estate & Insurance,90013002
Antiques,Shopping & Specialty Stores,90014001
Apparel & Accessories,Shopping & Specialty Stores,90014002
Arts Supplies & Services,Shopping & Specialty Stores,90014003
Books,Shopping & Specialty Stores,90014004
Associations & Clubs,Sports & Recreation,90015001
Bicycles,Sports & Recreation,90015002
Boats & Watersports,Sports & Recreation,90015003
Bowling,Sports & Recreation,90015004
Aircrafts & Airports,Transportation,90020001
Boats & marine,Transportation,90020002
Buses,Transportation,90020003
Mass & public transportation,Transportation,90020005
Lodging,Travel & Lodging,90016001
Tours & Excursions,Travel & Lodging,90016002
Transport,Travel & Lodging,90016003
"Travel Agencies, Clubs & Services",Travel & Lodging,90016004
